Number,TranslatedTitle,OriginalTitle,Year,Languages,Subtitles,Rating,Country,Category,URL,Director,Writer,Actors,Description,Comments,Length,Picture
"10","You Get Me","You Get Me","2017","ING/ESP","Español","4.7","USA","Crimen, Drama, Misterio, Romance, Thriller","https://www.imdb.com/title/tt5539054","Brent Bonacorso","Ben Epstein","Bella Thorne, Halston Sage, Taylor John Smith, Nash Grier, Anna Akana, Rhys Wakefield, Brigid Brannagh, Kathryn Morris, Kimberly Williams-Paisley, Boyd Kestner","""Some mistakes won't let go.""  A one-night stand turns into a nightmare for a high-school student when a young woman's obsession grows dangerous.","","89","movies.csv_pics\movies_10.jpg"
"9","Z For Zachariah","Z for Zachariah","2015","Inglés","Español","6.0","Islandia, Suiza, USA","Drama, Romance, Sci-Fi, Thriller","https://www.imdb.com/title/tt1598642","Craig Zobel","Nissar Modi, Robert C. O'Brien","Chiwetel Ejiofor, Margot Robbie, Chris Pine","""After the end of the world she thought she was alone. She was wrong.""  In the wake of a disaster that wipes out most of civilization, two men and a young woman find themselves in an emotionally charged love triangle as the last known survivors.","","98","movies.csv_pics\movies_9.jpg"
"8","Z: La Ciudad Perdida","The Lost City of Z","2016","ING/ESP","Español","6.6","USA","Aventura, Biografía, Drama, Historia","https://www.imdb.com/title/tt1212428","James Gray","James Gray, David Grann","Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland, EdGuerrad Ashley, Angus Macfadyen, Ian McDiarmid, Clive Francis, Pedro Coello, Matthew Sunderland","""In 1925, Percy Fawcett ventured into the Amazon in search of a myth. What he discovered became legendary.""  A true-life drama, centering on British explorer Major Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.","","141","movies.csv_pics\movies_8.jpg"
"7","Zero","Zero","2018","Inglés","Español","5.2","India","Comedia, Drama, Romance","https://www.imdb.com/title/tt6527426","Aanand L. Rai","Himanshu Sharma","Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohd. Zeeshan Ayyub, Abhay Deol, Madhavan, Florentina Kleiner, N. Barry Carver, Spencer Allport, Alan Applegate","Through his relationships with two wildly different women, a vertically challenged bachelor with a larger-than-life persona must discover his purpose.","","164","movies.csv_pics\movies_7.jpg"
"6","Zipper","Zipper","2015","Inglés","Español","5.8","USA","Drama, Thriller","https://www.imdb.com/title/tt3346224","Mora Stephens","Mora Stephens, Mora Stephens, Joel Viertel, Joel Viertel","Patrick Wilson, Lena Headey, Ray Winstone, Richard Dreyfuss, John Cho, Dianna Agron, Christopher McDonald, Alexandra Breckenridge, Penelope Mitchell, Elena Satine","""Why take the risk""  A successful Familia man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.","","112","movies.csv_pics\movies_6.jpg"
"5","Zoe","Zoe","2018","Inglés","Español","6.1","USA","Drama, Romance, Sci-Fi","https://www.imdb.com/title/tt6010628","Drake Doremus","Richard Greenberg, Richard Greenberg, Drake Doremus","Ewan McGregor, Léa Seydoux, Theo James, Rashida Jones, Christina Aguilera, Miranda Otto, Anthony Shim, Donovan Colan, Matthew Gray Gubler, Richard Brimblecombe","A story about how synthetic humans can feel and even love and how the people they are involved with react to this concept.","","104","movies.csv_pics\movies_5.jpg"
"4","Zombieland: Tiro De Gracia","Zombieland: Double Tap","2019","ING/ESP","Español","6.7","USA","Acción, Comedia, Terror","https://www.imdb.com/title/tt1560220","Ruben Fleischer","Rhett Reese, Paul Wernick, Dave Callaham, Rhett Reese, Paul Wernick","Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin, Zoey Deutch, Avan Jogia, Rosario Dawson, Luke Wilson, Thomas Middleditch, Victoria Hall","Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift Familia.","","99","movies.csv_pics\movies_4.jpg"
"3","Zombies","Zombies","2018","ING/ESP","Español","6.0","USA, Canadá","Aventura, Familia, Fantasía, Terror, Musical, Romance","https://www.imdb.com/title/tt6878820","Paul Hoen","David Light, Joseph Raso, David Light, Joseph Raso","Milo Manheim, Meg Donnelly, Trevor Tordjman, Kylee Russell, Carla Jeffery, Kingston Foster, James Godfrey, Naomi Snieckus, Jonathan Langdon, Paul Hopkins","""At Seabrook High it's zoms vs. poms.""  Students from Zombietown are transferred to a high school in a suburban town preoccupied with uniformity, traditions and pep rallies.","","94","movies.csv_pics\movies_3.jpg"
"2","Zoolander 2","Zoolander 2","2016","ING/ESP","Español","4.7","USA, Italia","Acción, Aventura, Comedia, Misterio, Romance","https://www.imdb.com/title/tt1608290","Ben Stiller","Justin Theroux, Ben Stiller, Nicholas Stoller, John Hamburg, Drake Sather, Ben Stiller","Justin Bieber, Jon Daly, Penélope Cruz, Ben Stiller, Katie Couric, Amy Stiller, Charlotte Townsend, Christine Taylor, Jim Lehrer, Owen Wilson","""Long time no Z.""  Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy.","","101","movies.csv_pics\movies_2.jpg"
"1","Zootopía","Zootopia","2016","ING/ESP","Español","8.0","USA","Infantil","https://www.imdb.com/title/tt2948356","Byron HoGuerrad, Rich Moore, Jared Bush","Byron HoGuerrad, Rich Moore, Jared Bush, Jim Reardon, Josie Trinidad, Phil Johnston, Jennifer Lee, Jared Bush, Phil Johnston, Kellie D. Lewis","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J.K. Simmons, Octavia Spencer","La metrópoli Zootopía es una ciudad de mamíferos, donde muchos animales viven y se desarrollan. Allí, la optimista agente Judy Hopps se convierte en la primera conejita de un cuerpo policial compuesto por animales duros y enormes. Judy está decidida a demostrar su valentía y se mete en un caso con Nick Wilde, un zorro parlanchín y estafador.","","108","movies.csv_pics\movies_1.jpg"
